Id Estado;Estado;Material;Tipo material;Texto breve de material;Centro área pl.nec.;Almacén;Ubicación;Caract.planif.nec.;Punto de pedido;Cálculo de tamaño de lote;Stock alm.máx.;Libre utilización;Libre Utilización Área;Stock de seguridad;Stock en Curso;Cantidad Pendiente en SolPed;Grupo de compras;Denominación GrpComp;Valor total;Nombre Fabricante;Numero Pieza de Fabricante;Rubro;SubRubro;Embalar;Peso bruto;Peso neto;Unidad de peso;Volumen;Plazo entrega prev.;Valor libre utilización;Moneda valor libre utilización;Menor a PP;Stock nulo;Mayor a PP;Mayor a Stock Maximo;Menor a PP area;Stock nulo area;Mayor a PP area;Mayor a Stock Maximo area
3;03-MAYOR A PUNTO DE PEDIDO;1002059;ZSTO;CAMPERA ABRIGO T. XL ROJA CON LOGO;MR01;0368;A1G4C4;V1;5;HB;8;7;0;0;0;0;C28;SEGURIDAD/ROPA/EPP;337790,53;No aplica;CON REFLECTIVO T. XL;ROPA;INDUMENTARIA;8-VARIOS;0,985;0;KG;8960;30;337790,5;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1002060;ZSTO;CAMPERA ABRIGO T. XXL ROJA CON LOGO;MR01;0368;A1G4C5;V1;5;HB;8;7;0;0;0;0;C28;SEGURIDAD/ROPA/EPP;311721,34;No aplica;CON REFLECTIVO T. XXL;ROPA;INDUMENTARIA;8-VARIOS;1,16;0;KG;16632;30;311721,32;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1002061;ZSTO;CAMPERA ABRIGO T. XXXL ROJA CON LOGO;MR01;0368;A1G1C6;V1;3;HB;5;5;0;0;0;0;C28;SEGURIDAD/ROPA/EPP;221623,9;No aplica;CON REFLECTIVO T. XXXL;ROPA;INDUMENTARIA;8-VARIOS;0,979;0;KG;8960;30;221623,92;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1002063;ZSTO;CAMPERA DESCARNE T.XL;MR01;0368;A1J3C3;V1;3;HB;5;3;0;0;0;0;C28;SEGURIDAD/ROPA/EPP;93659,49;;;SEGURIDAD;INDUMENTARIA;8-VARIOS;1,433;0;KG;7623;20;93659,5;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1002071;ZSTO;CAMPERA DESCARNE T.XXXL;MR01;0368;A1J3C3;V1;6;HB;9;8;0;0;0;0;C28;SEGURIDAD/ROPA/EPP;280336,32;;;SEGURIDAD;INDUMENTARIA;8-VARIOS;0;0;KG;0;21;280336,28;;;;1;;;1;;
4;04-MAYOR A STOCK MAXIMO;1002090;ZSTO;CAPA DE LLUVIA T.XL;MR01;0368;A1I1C1;V1;3;HB;5;16;0;0;0;0;C28;SEGURIDAD/ROPA/EPP;152189,28;;;ROPA;INDUMENTARIA;8-VARIOS;0,959;0;KG;2448;15;152189,3;;;;;1;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1002092;ZSTO;CAPA DE LLUVIA T.XXXL;MR01;0368;A1I1C1;V1;3;HB;5;5;0;0;0;0;C28;SEGURIDAD/ROPA/EPP;60350,05;;;ROPA;INDUMENTARIA;8-VARIOS;1,179;0;KG;2730;15;60350,03;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1002113;ZSTO;CORREA DISTRIBUCION ORIG TORRE WACK;MR01;0368;A1B1C6;V1;2;HB;2;2;0;0;0;0;C29;FILTROS/RESPUESTOS;369605,48;;WAN5000155697;CORREAS;TORRE ILUMINACION DAYCO113;8-VARIOS;0,13;0;KG;1300;15;369605,48;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1002114;ZSTO;CORREA ALTERNADOR 850MM ORIG;MR01;0368;A1B1C6;V1;2;HB;2;2;0;0;0;0;C29;FILTROS/RESPUESTOS;86961,64;LOMBARDINI;WAN5200002703;CORREAS;TORRE WACKER;8-VARIOS;0,08;0;KG;74;25;86961,64;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1002115;ZSTO;CORREA MOTOR;MR01;0368;A1B4C70;V1;1;HB;2;2;0;0;0;0;C29;FILTROS/RESPUESTOS;1545;CATERPILLA;2432143;CORREAS;CAT 938 H;8-VARIOS;0,212;0;KG;1254;15;1545;;;;1;;;1;;
