Id Estado;Estado;Material;Tipo material;Texto breve de material;Centro área pl.nec.;Almacén;Ubicación;Caract.planif.nec.;Punto de pedido;Cálculo de tamaño de lote;Stock alm.máx.;Libre utilización;Libre Utilización Área;Stock de seguridad;Stock en Curso;Cantidad Pendiente en SolPed;Grupo de compras;Denominación GrpComp;Valor total;Nombre Fabricante;Numero Pieza de Fabricante;Rubro;SubRubro;Embalar;Peso bruto;Peso neto;Unidad de peso;Volumen;Plazo entrega prev.;Valor libre utilización;Moneda valor libre utilización;Menor a PP;Stock nulo;Mayor a PP;Mayor a Stock Maximo;Menor a PP area;Stock nulo area;Mayor a PP area;Mayor a Stock Maximo area
2;02-MENOR A PUNTO DE PEDIDO;1016998;ZSSD;BOLIGRAFO TRAZO GRUESO NEGRO;MM01;0376;A2;V1;100;HB;300;86;0;0;0;0;C17;INSUMOS A;19741,3;;MÚLT. 50U;LIBRERIA;ESCRITURA;?;0;0;KG;0;0;19740,87;;1;;;;;1;;
2;02-MENOR A PUNTO DE PEDIDO;1016999;ZSSD;BOLIGRAFO TRAZO GRUESO AZUL;MM01;0376;A2;V1;100;HB;300;49;0;0;0;0;C17;INSUMOS A;12634,65;;MÚLT. 50U;LIBRERIA;LIBRERIA;?;0;0;KG;0;0;12634,87;;1;;;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1017003;ZSSD;BATERIA 9V;MM01;0376;GAV1 - H2;V1;10;HB;20;12;0;0;0;0;C13;FERRETERÍA MM01;77227,8;;;FERRETERIA;BATERIAS;?;0;0;KG;0;0;77227,83;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1017006;ZSSD;APRIETAPAPEL 32MM;MM01;0376;A2;V1;12;HB;24;17;0;0;0;0;C17;INSUMOS A;10670,73;;MÚLT. 12U;LIBRERIA;ACCESORIOS;?;0;0;KG;0;0;10670,81;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1017007;ZSSD;APRIETAPAPEL 51MM;MM01;0376;A2;V1;12;HB;24;22;0;0;0;0;C17;INSUMOS A;37965,84;;MÚLT. 12U;LIBRERIA;ACCESORIOS;?;0;0;KG;0;0;37965,93;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1017008;ZSSD;ADHESIVO SINTETICO 50GR;MM01;0376;A2;V1;10;HB;20;11;0;0;0;0;C17;INSUMOS A;7052,87;;VOLIGOMA;FERRETERIA;ADHESIVOS;?;0;0;KG;0;0;7052,83;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1017009;ZSSD;BLOCK A5 ESPIRAL CUADRIC 70HS;MM01;0376;B2;V1;10;HB;20;11;0;0;0;0;C17;INSUMOS A;27500;;;LIBRERIA;LIBRERIA;?;0;0;KG;0;0;27500;;;;1;;;1;;
2;02-MENOR A PUNTO DE PEDIDO;1017010;ZSSD;BOLIGRAFO TRAZO FINO AZUL;MM01;0376;A2;V1;150;HB;300;62;0;0;0;0;C17;INSUMOS A;32638,66;;MÚLT. 24U;LIBRERIA;ESCRITURA;?;0;0;KG;0;0;32638,54;;1;;;;;1;;
2;02-MENOR A PUNTO DE PEDIDO;1017011;ZSSD;CUADERNO ESPIRAL RAY A4 T.SEMIDURA 80 HJ;MM01;0376;B2;V1;10;HB;20;6;0;0;0;0;C17;INSUMOS A;23330,4;;;LIBRERIA;PAPEL;?;0;0;KG;0;0;23330,37;;1;;;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1017012;ZSSD;CARPETA CRISTAL BASE OPACA A4 AZUL NEGRA;MM01;0376;B2;V1;12;HB;60;33;0;0;0;0;C17;INSUMOS A;10002,96;;MÚLT. 12U;LIBRERIA;INSUMOS;?;0;0;KG;0;0;10002,97;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1017013;ZSSD;CORRECTOR LAPIZ 7MM;MM01;0376;A2;V1;10;HB;20;13;0;0;0;0;C17;INSUMOS A;5959,2;;;LIBRERIA;ACCESORIOS;?;0;0;KG;0;0;5959,2;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1017015;ZSSD;MARCADOR PERMANENTE AZUL;MM01;0376;A2;V1;20;HB;50;41;0;0;0;0;C17;INSUMOS A;21193,31;;MÚLT. 10U;LIBRERIA;LIBRERIA;?;0;0;KG;0;0;21193,51;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1017016;ZSSD;MARCADOR PERMANENTE NEGRO;MM01;0376;A2;V1;20;HB;50;46;0;0;0;0;C17;INSUMOS A;34276,44;;MÚLT. 10U;LIBRERIA;ESCRITURA;?;0;0;KG;0;0;34276,57;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1017017;ZSSD;MARCADOR PERMANENTE ROJO;MM01;0376;A2;V1;20;HB;50;39;0;0;0;0;C17;INSUMOS A;20575,62;;MÚLT. 10U;LIBRERIA;LIBRERIA;?;0;0;KG;0;0;20575,5;;;;1;;;1;;
2;02-MENOR A PUNTO DE PEDIDO;1017018;ZSSD;MINAS 0.5MM 2B X12;MM01;0376;A2;V1;10;HB;30;7;0;0;0;0;C17;INSUMOS A;1588,09;;;LIBRERIA;INSUMOS;?;0;0;KG;0;0;1588,06;;1;;;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1017019;ZSSD;ABROCHADORA PINZA N10;MM01;0376;A2;V1;5;HB;10;9;0;0;0;0;C17;INSUMOS A;58717,08;;;LIBRERIA;ACCESORIOS;?;0;0;KG;0;0;58717,04;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1017020;ZSSD;BOLIGRAFO TRAZO GRUESO VERDE;MM01;0376;A2;V1;100;HB;200;186;0;0;0;0;C17;INSUMOS A;84773,22;;MÚLT. 50U;LIBRERIA;INSUMOS;?;0;0;KG;0;0;84773,79;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1017021;ZSSD;CUADERNO ESPIRAL CUAD A4 T.DURA 80 HJ;MM01;0376;B2;V1;10;HB;20;11;0;0;0;0;C17;INSUMOS A;59034,47;;;LIBRERIA;LIBRERIA;?;0;0;KG;0;0;59034,52;;;;1;;;1;;
2;02-MENOR A PUNTO DE PEDIDO;1017022;ZSSD;CUADERNO ESPIRAL CUAD A4 T.SEMIDURA 80HJ;MM01;0376;A2;V1;10;HB;20;9;0;0;0;0;C17;INSUMOS A;34568,91;;;LIBRERIA;PAPEL;?;0;0;KG;0;0;34568,87;;1;;;;;1;;
2;02-MENOR A PUNTO DE PEDIDO;1017023;ZSSD;CUADERNO ESPIRAL RAY A4 T.DURA 80 HJ;MM01;0376;B2 BIS;V1;10;HB;20;2;0;0;0;0;C17;INSUMOS A;11411,8;;;LIBRERIA;ESCRITURA;?;0;0;KG;0;0;11411,8;;1;;;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1017024;ZSSD;SOPORTE P MATAFUEGO 10KG (COLGAR);MM01;0376;GAV1-F4;V1;10;HB;20;20;0;0;0;0;C28;SEGURIDAD/ROPA/EPP;21937,6;;;FERRETERIA;ACCESORIO SEGURIDAD;?;0;0;KG;0;0;21937,59;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1017025;ZSSD;SOPORTE P MATAFUEGO 5 KG (COLGAR);MM01;0376;GAV1-I5;V1;10;HB;20;20;0;0;0;0;C28;SEGURIDAD/ROPA/EPP;7530,4;;;FERRETERIA;ACCESORIO SEGURIDAD;?;0;0;KG;0;0;7530,3;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1017030;ZSSD;CINTA AISLADORA AZUL ( GENERICO );MM01;0376;O2;V1;15;HB;30;24;0;0;0;0;C13;FERRETERÍA MM01;18886,08;;;FERRETERIA;INSUMOS;?;0;0;KG;0;0;18886,06;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1017031;ZSSD;GUANTES ALTO IMPACTO X PAR;MM01;0376;Q4;V1;360;HB;720;633;0;0;0;0;C28;SEGURIDAD/ROPA/EPP;4049446,59;;MÚLT. 12U;INDUMENTARIA;EPP;?;0;0;KG;0;21;4049446,74;;;;1;;;1;;
2;02-MENOR A PUNTO DE PEDIDO;1017035;ZSSD;GOMA DE BORRAR LAPIZ;MM01;0376;A2;V1;10;HB;20;6;0;0;0;0;C17;INSUMOS A;822,3;;;LIBRERIA;LIBRERIA;?;0;0;KG;0;0;822,31;;1;;;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1017037;ZSSD;MARCADOR P PIZARRA VERDE;MM01;0376;A2;V1;20;HB;50;20;0;0;0;0;C17;INSUMOS A;11532;;MÚLT. 10U;LIBRERIA;ESCRITURA;?;0;0;KG;0;0;11531,98;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1017045;ZSSD;SECADOR DE PISO 30CM;MM01;0376;N2;V1;5;HB;15;13;0;0;0;0;C17;INSUMOS A;28228,07;;;LIMPIEZA;INSUMOS;?;0;0;KG;0;0;28228,09;;;;1;;;1;;
2;02-MENOR A PUNTO DE PEDIDO;1017048;ZSSD;FRANELA;MM01;0376;O2;V1;20;HB;50;2;0;0;0;0;C17;INSUMOS A;3844,22;;;LIMPIEZA;LIMPIEZA /SEGURIDAD;?;0;0;KG;0;0;3844,23;;1;;;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1017054;ZSSD;CABLE TPR TIPO TALLER 3X4MM2;MM01;0376;B1;V1;100;HB;400;260;0;0;0;0;C11;ELECTRICIDAD;553742,8;;MT O MÚLT. 100 MTS;ELECTRICIDAD;CABLES;?;0;0;KG;0;0;553742,72;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1017065;ZSSD;CAL HIDRATADA BOLSA X 25KG;MM01;0376;LAT.CARPA;V1;40;HB;120;57;0;0;0;0;C22;INSUMOS C;244299,72;;;FERRETERIA;INSUMOS;?;0;0;KG;0;0;244299,45;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1017066;ZSSD;BALIZA TIPO DESTELLANTE 1000HS;MM01;0376;F5;V1;10;HB;30;22;0;0;0;0;C28;SEGURIDAD/ROPA/EPP;382579,12;;;SEGURIDAD;?;?;0;0;KG;0;21;382579,12;;;;1;;;1;;
2;02-MENOR A PUNTO DE PEDIDO;1017067;ZSSD;BATERIA P BALIZA 1000HS;MM01;0376;O4;V1;20;HB;40;18;0;0;0;0;C28;SEGURIDAD/ROPA/EPP;93911,94;;;SEGURIDAD;?;?;0;0;KG;0;21;93911,94;;1;;;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1017068;ZSSD;CINTA REFLECTIVA BLANCA XMT;MM01;0376;O2;V1;46;HB;91;53;0;0;0;0;C28;SEGURIDAD/ROPA/EPP;55454,96;;MÚLT. 45,7 MTS;SEGURIDAD;SEÑALIZACION;?;0;0;KG;0;0;55454,75;;;;1;;;1;;
